fr,zfr,rank,condition,region,subject,sessid,unitId
13.1111111111111,1.11320754716981,1,primed,AM,30,1,1
11.7777777777778,1,1,control,AM,30,1,1
12.2222222222222,1.0377358490566,2,primed,AM,30,1,1
10.2222222222222,0.867924528301887,2,control,AM,30,1,1
9.77777777777778,0.830188679245283,3,primed,AM,30,1,1
9.77777777777778,0.830188679245283,3,control,AM,30,1,1
8.44444444444444,0.716981132075472,4,primed,AM,30,1,1
8.44444444444444,0.716981132075472,4,control,AM,30,1,1
8.66666666666667,1.14705882352941,1,primed,AM,30,1,4
7.55555555555556,1,1,control,AM,30,1,4
8.66666666666667,1.14705882352941,2,primed,AM,30,1,4
7.33333333333333,0.970588235294118,2,control,AM,30,1,4
7.33333333333333,0.970588235294118,3,primed,AM,30,1,4
8.22222222222222,1.08823529411765,3,control,AM,30,1,4
7.33333333333333,0.970588235294118,4,primed,AM,30,1,4
8.22222222222222,1.08823529411765,4,control,AM,30,1,4
27.1111111111111,1.15094339622642,1,primed,AM,30,1,5
23.5555555555556,1,1,control,AM,30,1,5
19.3333333333333,0.820754716981132,2,primed,AM,30,1,5
29.3333333333333,1.24528301886792,2,control,AM,30,1,5
22.6666666666667,0.962264150943396,3,primed,AM,30,1,5
25.7777777777778,1.09433962264151,3,control,AM,30,1,5
24.2222222222222,1.02830188679245,4,primed,AM,30,1,5
23.7777777777778,1.00943396226415,4,control,AM,30,1,5
6.22222222222222,0.756756756756757,1,primed,AM,30,1,6
8.22222222222222,1,1,control,AM,30,1,6
2.44444444444444,0.297297297297297,2,primed,AM,30,1,6
8,0.972972972972973,2,control,AM,30,1,6
4.66666666666667,0.567567567567568,3,primed,AM,30,1,6
4.66666666666667,0.567567567567568,3,control,AM,30,1,6
3.77777777777778,0.459459459459459,4,primed,AM,30,1,6
5.55555555555556,0.675675675675676,4,control,AM,30,1,6
4.22222222222222,0.95,1,primed,AM,30,3,14
4.44444444444444,1,1,control,AM,30,3,14
3.33333333333333,0.75,2,primed,AM,30,3,14
4.44444444444444,1,2,control,AM,30,3,14
2.88888888888889,0.65,3,primed,AM,30,3,14
3.77777777777778,0.85,3,control,AM,30,3,14
4.66666666666667,1.05,4,primed,AM,30,3,14
1.77777777777778,0.4,4,control,AM,30,3,14
8,0.73469387755102,1,primed,AM,32,7,16
10.8888888888889,1,1,control,AM,32,7,16
7.77777777777778,0.714285714285714,2,primed,AM,32,7,16
8.88888888888889,0.816326530612245,2,control,AM,32,7,16
8.22222222222222,0.755102040816326,3,primed,AM,32,7,16
8.22222222222222,0.755102040816326,3,control,AM,32,7,16
6.66666666666667,0.612244897959184,4,primed,AM,32,7,16
8.66666666666667,0.795918367346939,4,control,AM,32,7,16
15.5555555555556,1.07692307692308,1,primed,AM,32,7,17
14.4444444444444,1,1,control,AM,32,7,17
12.2222222222222,0.846153846153846,2,primed,AM,32,7,17
13.5555555555556,0.938461538461538,2,control,AM,32,7,17
13.7777777777778,0.953846153846154,3,primed,AM,32,7,17
8.66666666666667,0.6,3,control,AM,32,7,17
14.4444444444444,1,4,primed,AM,32,7,17
8,0.553846153846154,4,control,AM,32,7,17
14.2222222222222,1.42222222222222,1,primed,AM,32,7,18
10,1,1,control,AM,32,7,18
11.3333333333333,1.13333333333333,2,primed,AM,32,7,18
11.7777777777778,1.17777777777778,2,control,AM,32,7,18
13.1111111111111,1.31111111111111,3,primed,AM,32,7,18
6.66666666666667,0.666666666666667,3,control,AM,32,7,18
9.77777777777778,0.977777777777778,4,primed,AM,32,7,18
10,1,4,control,AM,32,7,18
6.44444444444444,1.03571428571429,1,primed,AM,32,8,19
6.22222222222222,1,1,control,AM,32,8,19
5.11111111111111,0.821428571428571,2,primed,AM,32,8,19
5.11111111111111,0.821428571428571,2,control,AM,32,8,19
4.88888888888889,0.785714285714286,3,primed,AM,32,8,19
4.44444444444444,0.714285714285714,3,control,AM,32,8,19
3.33333333333333,0.535714285714286,4,primed,AM,32,8,19
5.77777777777778,0.928571428571428,4,control,AM,32,8,19
10.4444444444444,0.903846153846154,1,primed,AM,32,8,20
11.5555555555556,1,1,control,AM,32,8,20
9.55555555555556,0.826923076923077,2,primed,AM,32,8,20
10.8888888888889,0.942307692307692,2,control,AM,32,8,20
10,0.865384615384615,3,primed,AM,32,8,20
10.4444444444444,0.903846153846154,3,control,AM,32,8,20
9.77777777777778,0.846153846153846,4,primed,AM,32,8,20
10.4444444444444,0.903846153846154,4,control,AM,32,8,20
8.44444444444444,1.1875,1,primed,AM,32,9,22
7.11111111111111,1,1,control,AM,32,9,22
5.77777777777778,0.8125,2,primed,AM,32,9,22
9.55555555555556,1.34375,2,control,AM,32,9,22
7.11111111111111,1,3,primed,AM,32,9,22
7.77777777777778,1.09375,3,control,AM,32,9,22
7.11111111111111,1,4,primed,AM,32,9,22
7.77777777777778,1.09375,4,control,AM,32,9,22
20,0.967741935483871,1,primed,AM,32,11,23
20.6666666666667,1,1,control,AM,32,11,23
18.4444444444444,0.89247311827957,2,primed,AM,32,11,23
22,1.06451612903226,2,control,AM,32,11,23
19.1111111111111,0.924731182795699,3,primed,AM,32,11,23
19.5555555555556,0.946236559139785,3,control,AM,32,11,23
22.4444444444444,1.08602150537634,4,primed,AM,32,11,23
16,0.774193548387097,4,control,AM,32,11,23
16.4444444444444,1.08823529411765,1,primed,AM,32,12,24
15.1111111111111,1,1,control,AM,32,12,24
15.1111111111111,1,2,primed,AM,32,12,24
14.8888888888889,0.985294117647059,2,control,AM,32,12,24
14.8888888888889,0.985294117647059,3,primed,AM,32,12,24
14,0.926470588235294,3,control,AM,32,12,24
14.6666666666667,0.970588235294118,4,primed,AM,32,12,24
14.2222222222222,0.941176470588235,4,control,AM,32,12,24
12.4444444444444,1.01818181818182,1,primed,AM,34,15,31
12.2222222222222,1,1,control,AM,34,15,31
10.4444444444444,0.854545454545455,2,primed,AM,34,15,31
12.6666666666667,1.03636363636364,2,control,AM,34,15,31
7.55555555555556,0.618181818181818,3,primed,AM,34,15,31
10.8888888888889,0.890909090909091,3,control,AM,34,15,31
7.55555555555556,0.618181818181818,4,primed,AM,34,15,31
10.8888888888889,0.890909090909091,4,control,AM,34,15,31
7.77777777777778,1.45833333333333,1,primed,AM,34,17,33
5.33333333333333,1,1,control,AM,34,17,33
6.88888888888889,1.29166666666667,2,primed,AM,34,17,33
5.33333333333333,1,2,control,AM,34,17,33
5.77777777777778,1.08333333333333,3,primed,AM,34,17,33
6.22222222222222,1.16666666666667,3,control,AM,34,17,33
4.66666666666667,0.875,4,primed,AM,34,17,33
6.88888888888889,1.29166666666667,4,control,AM,34,17,33
8.66666666666667,0.951219512195122,1,primed,AM,34,19,34
9.11111111111111,1,1,control,AM,34,19,34
8.22222222222222,0.902439024390244,2,primed,AM,34,19,34
8.88888888888889,0.975609756097561,2,control,AM,34,19,34
6.22222222222222,0.682926829268293,3,primed,AM,34,19,34
10.8888888888889,1.19512195121951,3,control,AM,34,19,34
7.33333333333333,0.804878048780488,4,primed,AM,34,19,34
9.11111111111111,1,4,control,AM,34,19,34
7.33333333333333,1.5,1,primed,AM,35,21,41
4.88888888888889,1,1,control,AM,35,21,41
3.55555555555556,0.727272727272727,2,primed,AM,35,21,41
8.22222222222222,1.68181818181818,2,control,AM,35,21,41
5.55555555555556,1.13636363636364,3,primed,AM,35,21,41
6,1.22727272727273,3,control,AM,35,21,41
5.77777777777778,1.18181818181818,4,primed,AM,35,21,41
5.77777777777778,1.18181818181818,4,control,AM,35,21,41
10.8888888888889,0.830508474576271,1,primed,AM,35,21,42
13.1111111111111,1,1,control,AM,35,21,42
10.4444444444444,0.796610169491525,2,primed,AM,35,21,42
8.88888888888889,0.677966101694915,2,control,AM,35,21,42
8,0.610169491525424,3,primed,AM,35,21,42
11.3333333333333,0.864406779661017,3,control,AM,35,21,42
10.8888888888889,0.830508474576271,4,primed,AM,35,21,42
8.22222222222222,0.627118644067797,4,control,AM,35,21,42
19.5555555555556,1.15789473684211,1,primed,AM,37,22,47
16.8888888888889,1,1,control,AM,37,22,47
15.3333333333333,0.907894736842105,2,primed,AM,37,22,47
13.5555555555556,0.802631578947368,2,control,AM,37,22,47
17.3333333333333,1.02631578947368,3,primed,AM,37,22,47
11.1111111111111,0.657894736842105,3,control,AM,37,22,47
15.5555555555556,0.921052631578947,4,primed,AM,37,22,47
11.1111111111111,0.657894736842105,4,control,AM,37,22,47
4.66666666666667,0.875,1,primed,AM,37,22,48
5.33333333333333,1,1,control,AM,37,22,48
4.44444444444444,0.833333333333333,2,primed,AM,37,22,48
4.66666666666667,0.875,2,control,AM,37,22,48
3.33333333333333,0.625,3,primed,AM,37,22,48
4.44444444444444,0.833333333333333,3,control,AM,37,22,48
2.44444444444444,0.458333333333333,4,primed,AM,37,22,48
3.55555555555556,0.666666666666667,4,control,AM,37,22,48
24.4444444444444,1.11111111111111,1,primed,AM,37,22,49
22,1,1,control,AM,37,22,49
20.2222222222222,0.919191919191919,2,primed,AM,37,22,49
14.6666666666667,0.666666666666667,2,control,AM,37,22,49
17.7777777777778,0.808080808080808,3,primed,AM,37,22,49
14.8888888888889,0.676767676767677,3,control,AM,37,22,49
18.2222222222222,0.828282828282828,4,primed,AM,37,22,49
14.4444444444444,0.656565656565656,4,control,AM,37,22,49
16.4444444444444,0.770833333333333,1,primed,AM,37,22,50
21.3333333333333,1,1,control,AM,37,22,50
18.2222222222222,0.854166666666667,2,primed,AM,37,22,50
17.7777777777778,0.833333333333333,2,control,AM,37,22,50
17.7777777777778,0.833333333333333,3,primed,AM,37,22,50
16.2222222222222,0.760416666666667,3,control,AM,37,22,50
13.1111111111111,0.614583333333333,4,primed,AM,37,22,50
14.4444444444444,0.677083333333333,4,control,AM,37,22,50
14.4444444444444,1.66666666666667,1,primed,AM,37,23,51
8.66666666666667,1,1,control,AM,37,23,51
10.6666666666667,1.23076923076923,2,primed,AM,37,23,51
12.2222222222222,1.41025641025641,2,control,AM,37,23,51
8.22222222222222,0.948717948717948,3,primed,AM,37,23,51
12.2222222222222,1.41025641025641,3,control,AM,37,23,51
12.2222222222222,1.41025641025641,4,primed,AM,37,23,51
7.55555555555556,0.871794871794872,4,control,AM,37,23,51
9.11111111111111,1,1,primed,AM,42,31,54
9.11111111111111,1,1,control,AM,42,31,54
8.88888888888889,0.975609756097561,2,primed,AM,42,31,54
7.33333333333333,0.804878048780488,2,control,AM,42,31,54
7.55555555555556,0.829268292682927,3,primed,AM,42,31,54
7.77777777777778,0.853658536585366,3,control,AM,42,31,54
6.44444444444444,0.707317073170732,4,primed,AM,42,31,54
8.66666666666667,0.951219512195122,4,control,AM,42,31,54
9.11111111111111,1.05128205128205,1,primed,AM,42,31,55
8.66666666666667,1,1,control,AM,42,31,55
7.11111111111111,0.82051282051282,2,primed,AM,42,31,55
8.22222222222222,0.948717948717948,2,control,AM,42,31,55
8.66666666666667,1,3,primed,AM,42,31,55
6,0.692307692307692,3,control,AM,42,31,55
7.77777777777778,0.897435897435897,4,primed,AM,42,31,55
6.88888888888889,0.794871794871795,4,control,AM,42,31,55
8,1,1,primed,AM,43,34,59
8,1,1,control,AM,43,34,59
7.77777777777778,0.972222222222222,2,primed,AM,43,34,59
8,1,2,control,AM,43,34,59
8,1,3,primed,AM,43,34,59
6.88888888888889,0.861111111111111,3,control,AM,43,34,59
6.22222222222222,0.777777777777778,4,primed,AM,43,34,59
7.33333333333333,0.916666666666667,4,control,AM,43,34,59
12.6666666666667,0.826086956521739,1,primed,AM,44,36,62
15.3333333333333,1,1,control,AM,44,36,62
12,0.782608695652174,2,primed,AM,44,36,62
13.7777777777778,0.898550724637681,2,control,AM,44,36,62
13.5555555555556,0.884057971014493,3,primed,AM,44,36,62
11.3333333333333,0.739130434782609,3,control,AM,44,36,62
11.3333333333333,0.739130434782609,4,primed,AM,44,36,62
13.1111111111111,0.855072463768116,4,control,AM,44,36,62
10.2222222222222,0.807017543859649,1,primed,AM,44,36,63
12.6666666666667,1,1,control,AM,44,36,63
9.33333333333333,0.736842105263158,2,primed,AM,44,36,63
8.44444444444444,0.666666666666667,2,control,AM,44,36,63
9.11111111111111,0.719298245614035,3,primed,AM,44,36,63
8.66666666666667,0.68421052631579,3,control,AM,44,36,63
7.55555555555556,0.596491228070175,4,primed,AM,44,36,63
8.88888888888889,0.701754385964912,4,control,AM,44,36,63
7.77777777777778,0.875,1,primed,AM,44,36,64
8.88888888888889,1,1,control,AM,44,36,64
8,0.9,2,primed,AM,44,36,64
8,0.9,2,control,AM,44,36,64
8.66666666666667,0.975,3,primed,AM,44,36,64
6.88888888888889,0.775,3,control,AM,44,36,64
6.66666666666667,0.75,4,primed,AM,44,36,64
8.22222222222222,0.925,4,control,AM,44,36,64
9.55555555555556,0.530864197530864,1,primed,AM,44,36,65
18,1,1,control,AM,44,36,65
7.77777777777778,0.432098765432099,2,primed,AM,44,36,65
10.6666666666667,0.592592592592593,2,control,AM,44,36,65
6.44444444444444,0.358024691358025,3,primed,AM,44,36,65
8.44444444444444,0.469135802469136,3,control,AM,44,36,65
6.44444444444444,0.358024691358025,4,primed,AM,44,36,65
8,0.444444444444444,4,control,AM,44,36,65
13.1111111111111,0.756410256410256,1,primed,AM,44,36,66
17.3333333333333,1,1,control,AM,44,36,66
12.6666666666667,0.730769230769231,2,primed,AM,44,36,66
17.3333333333333,1,2,control,AM,44,36,66
9.77777777777778,0.564102564102564,3,primed,AM,44,36,66
13.5555555555556,0.782051282051282,3,control,AM,44,36,66
12,0.692307692307692,4,primed,AM,44,36,66
10.6666666666667,0.615384615384615,4,control,AM,44,36,66
17.3333333333333,0.906976744186047,1,primed,AM,44,36,67
19.1111111111111,1,1,control,AM,44,36,67
12.2222222222222,0.63953488372093,2,primed,AM,44,36,67
10.6666666666667,0.558139534883721,2,control,AM,44,36,67
10.4444444444444,0.546511627906977,3,primed,AM,44,36,67
12.2222222222222,0.63953488372093,3,control,AM,44,36,67
9.77777777777778,0.511627906976744,4,primed,AM,44,36,67
11.5555555555556,0.604651162790698,4,control,AM,44,36,67
8.22222222222222,1.05714285714286,1,primed,AM,44,36,68
7.77777777777778,1,1,control,AM,44,36,68
3.77777777777778,0.485714285714286,2,primed,AM,44,36,68
7.11111111111111,0.914285714285714,2,control,AM,44,36,68
2.88888888888889,0.371428571428571,3,primed,AM,44,36,68
4.88888888888889,0.628571428571429,3,control,AM,44,36,68
2.22222222222222,0.285714285714286,4,primed,AM,44,36,68
2.88888888888889,0.371428571428571,4,control,AM,44,36,68
11.7777777777778,0.868852459016394,1,primed,AM,44,37,70
13.5555555555556,1,1,control,AM,44,37,70
10.8888888888889,0.80327868852459,2,primed,AM,44,37,70
10.4444444444444,0.770491803278689,2,control,AM,44,37,70
6.88888888888889,0.508196721311475,3,primed,AM,44,37,70
14.4444444444444,1.0655737704918,3,control,AM,44,37,70
9.55555555555556,0.704918032786885,4,primed,AM,44,37,70
11.3333333333333,0.836065573770492,4,control,AM,44,37,70
9.55555555555556,0.781818181818182,1,primed,AM,44,37,71
12.2222222222222,1,1,control,AM,44,37,71
9.11111111111111,0.745454545454545,2,primed,AM,44,37,71
6.88888888888889,0.563636363636364,2,control,AM,44,37,71
8.44444444444444,0.690909090909091,3,primed,AM,44,37,71
7.11111111111111,0.581818181818182,3,control,AM,44,37,71
8.22222222222222,0.672727272727273,4,primed,AM,44,37,71
6.66666666666667,0.545454545454546,4,control,AM,44,37,71
11.3333333333333,0.739130434782609,1,primed,AM,44,39,73
15.3333333333333,1,1,control,AM,44,39,73
13.3333333333333,0.869565217391304,2,primed,AM,44,39,73
12.8888888888889,0.840579710144927,2,control,AM,44,39,73
11.7777777777778,0.768115942028985,3,primed,AM,44,39,73
14,0.91304347826087,3,control,AM,44,39,73
12.8888888888889,0.840579710144927,4,primed,AM,44,39,73
12.4444444444444,0.811594202898551,4,control,AM,44,39,73
8.88888888888889,1.11111111111111,1,primed,AM,45,40,75
8,1,1,control,AM,45,40,75
6.66666666666667,0.833333333333333,2,primed,AM,45,40,75
10,1.25,2,control,AM,45,40,75
8.66666666666667,1.08333333333333,3,primed,AM,45,40,75
7.33333333333333,0.916666666666667,3,control,AM,45,40,75
8.88888888888889,1.11111111111111,4,primed,AM,45,40,75
7.11111111111111,0.888888888888889,4,control,AM,45,40,75
9.77777777777778,1,1,primed,AM,48,44,80
9.77777777777778,1,1,control,AM,48,44,80
8.66666666666667,0.886363636363637,2,primed,AM,48,44,80
8.66666666666667,0.886363636363637,2,control,AM,48,44,80
8.22222222222222,0.840909090909091,3,primed,AM,48,44,80
9.11111111111111,0.931818181818182,3,control,AM,48,44,80
7.11111111111111,0.727272727272727,4,primed,AM,48,44,80
10.2222222222222,1.04545454545455,4,control,AM,48,44,80
7.11111111111111,0.914285714285714,1,primed,AM,49,46,94
7.77777777777778,1,1,control,AM,49,46,94
7.33333333333333,0.942857142857143,2,primed,AM,49,46,94
5.55555555555556,0.714285714285714,2,control,AM,49,46,94
7.77777777777778,1,3,primed,AM,49,46,94
5.11111111111111,0.657142857142857,3,control,AM,49,46,94
6.66666666666667,0.857142857142857,4,primed,AM,49,46,94
6,0.771428571428572,4,control,AM,49,46,94
7.11111111111111,1.68421052631579,1,primed,AM,49,46,95
4.22222222222222,1,1,control,AM,49,46,95
5.55555555555556,1.31578947368421,2,primed,AM,49,46,95
4.44444444444444,1.05263157894737,2,control,AM,49,46,95
5.11111111111111,1.21052631578947,3,primed,AM,49,46,95
4.22222222222222,1,3,control,AM,49,46,95
4,0.947368421052632,4,primed,AM,49,46,95
5.33333333333333,1.26315789473684,4,control,AM,49,46,95
8.44444444444444,0.844444444444444,1,primed,AM,49,46,96
10,1,1,control,AM,49,46,96
10.4444444444444,1.04444444444444,2,primed,AM,49,46,96
7.33333333333333,0.733333333333333,2,control,AM,49,46,96
8.22222222222222,0.822222222222222,3,primed,AM,49,46,96
8.66666666666667,0.866666666666667,3,control,AM,49,46,96
7.55555555555556,0.755555555555556,4,primed,AM,49,46,96
8.88888888888889,0.888888888888889,4,control,AM,49,46,96
18.6666666666667,0.823529411764706,1,primed,AM,49,46,97
22.6666666666667,1,1,control,AM,49,46,97
16.8888888888889,0.745098039215686,2,primed,AM,49,46,97
23.3333333333333,1.02941176470588,2,control,AM,49,46,97
18.6666666666667,0.823529411764706,3,primed,AM,49,46,97
20.4444444444444,0.901960784313726,3,control,AM,49,46,97
20.4444444444444,0.901960784313726,4,primed,AM,49,46,97
18.4444444444444,0.813725490196078,4,control,AM,49,46,97
10.4444444444444,1.14634146341463,1,primed,AM,49,46,98
9.11111111111111,1,1,control,AM,49,46,98
8.44444444444444,0.926829268292683,2,primed,AM,49,46,98
10.2222222222222,1.1219512195122,2,control,AM,49,46,98
9.55555555555556,1.04878048780488,3,primed,AM,49,46,98
7.77777777777778,0.853658536585366,3,control,AM,49,46,98
8,0.878048780487805,4,primed,AM,49,46,98
8.88888888888889,0.975609756097561,4,control,AM,49,46,98
6.22222222222222,1.16666666666667,1,primed,AM,49,46,99
5.33333333333333,1,1,control,AM,49,46,99
3.55555555555556,0.666666666666667,2,primed,AM,49,46,99
6.44444444444444,1.20833333333333,2,control,AM,49,46,99
4.44444444444444,0.833333333333333,3,primed,AM,49,46,99
5.11111111111111,0.958333333333333,3,control,AM,49,46,99
5.11111111111111,0.958333333333333,4,primed,AM,49,46,99
4,0.75,4,control,AM,49,46,99
13.7777777777778,0.898550724637681,1,primed,AM,49,46,100
15.3333333333333,1,1,control,AM,49,46,100
15.1111111111111,0.985507246376812,2,primed,AM,49,46,100
13.7777777777778,0.898550724637681,2,control,AM,49,46,100
15.7777777777778,1.02898550724638,3,primed,AM,49,46,100
11.7777777777778,0.768115942028985,3,control,AM,49,46,100
15.5555555555556,1.01449275362319,4,primed,AM,49,46,100
11.3333333333333,0.739130434782609,4,control,AM,49,46,100
3.55555555555556,0.888888888888889,1,primed,AM,49,46,101
4,1,1,control,AM,49,46,101
4.44444444444444,1.11111111111111,2,primed,AM,49,46,101
2,0.5,2,control,AM,49,46,101
3.11111111111111,0.777777777777778,3,primed,AM,49,46,101
2.66666666666667,0.666666666666667,3,control,AM,49,46,101
2.44444444444444,0.611111111111111,4,primed,AM,49,46,101
3.33333333333333,0.833333333333333,4,control,AM,49,46,101
16.6666666666667,0.806451612903226,1,primed,AM,49,46,102
20.6666666666667,1,1,control,AM,49,46,102
12.8888888888889,0.623655913978495,2,primed,AM,49,46,102
22.8888888888889,1.10752688172043,2,control,AM,49,46,102
15.5555555555556,0.752688172043011,3,primed,AM,49,46,102
17.5555555555556,0.849462365591398,3,control,AM,49,46,102
15.7777777777778,0.763440860215054,4,primed,AM,49,46,102
17.1111111111111,0.827956989247312,4,control,AM,49,46,102
7.33333333333333,1.32,1,primed,AM,49,46,103
5.55555555555556,1,1,control,AM,49,46,103
4,0.72,2,primed,AM,49,46,103
6.22222222222222,1.12,2,control,AM,49,46,103
6,1.08,3,primed,AM,49,46,103
4,0.72,3,control,AM,49,46,103
3.55555555555556,0.64,4,primed,AM,49,46,103
6.44444444444444,1.16,4,control,AM,49,46,103
7.77777777777778,1.02941176470588,1,primed,AM,49,46,107
7.55555555555556,1,1,control,AM,49,46,107
7.77777777777778,1.02941176470588,2,primed,AM,49,46,107
6.66666666666667,0.882352941176471,2,control,AM,49,46,107
6.88888888888889,0.911764705882353,3,primed,AM,49,46,107
7.11111111111111,0.941176470588235,3,control,AM,49,46,107
6.44444444444444,0.852941176470588,4,primed,AM,49,46,107
6.88888888888889,0.911764705882353,4,control,AM,49,46,107
23.3333333333333,1.12903225806452,1,primed,AM,49,47,113
20.6666666666667,1,1,control,AM,49,47,113
20.8888888888889,1.01075268817204,2,primed,AM,49,47,113
21.5555555555556,1.04301075268817,2,control,AM,49,47,113
22,1.06451612903226,3,primed,AM,49,47,113
19.1111111111111,0.924731182795699,3,control,AM,49,47,113
21.7777777777778,1.05376344086022,4,primed,AM,49,47,113
18.6666666666667,0.903225806451613,4,control,AM,49,47,113
18,1.24615384615385,1,primed,AM,49,47,114
14.4444444444444,1,1,control,AM,49,47,114
8.44444444444444,0.584615384615385,2,primed,AM,49,47,114
10.8888888888889,0.753846153846154,2,control,AM,49,47,114
9.77777777777778,0.676923076923077,3,primed,AM,49,47,114
9.55555555555556,0.661538461538462,3,control,AM,49,47,114
12.2222222222222,0.846153846153846,4,primed,AM,49,47,114
6.44444444444444,0.446153846153846,4,control,AM,49,47,114
6.44444444444444,1.03571428571429,1,primed,AM,49,47,115
6.22222222222222,1,1,control,AM,49,47,115
3.77777777777778,0.607142857142857,2,primed,AM,49,47,115
4.22222222222222,0.678571428571429,2,control,AM,49,47,115
3.55555555555556,0.571428571428572,3,primed,AM,49,47,115
4.22222222222222,0.678571428571429,3,control,AM,49,47,115
3.11111111111111,0.5,4,primed,AM,49,47,115
3.55555555555556,0.571428571428572,4,control,AM,49,47,115
13.5555555555556,1.24489795918367,1,primed,AM,50,48,124
10.8888888888889,1,1,control,AM,50,48,124
7.77777777777778,0.714285714285714,2,primed,AM,50,48,124
13.7777777777778,1.26530612244898,2,control,AM,50,48,124
12,1.10204081632653,3,primed,AM,50,48,124
8.22222222222222,0.755102040816326,3,control,AM,50,48,124
10,0.918367346938776,4,primed,AM,50,48,124
9.33333333333333,0.857142857142857,4,control,AM,50,48,124
10,1.28571428571429,1,primed,AM,50,48,125
7.77777777777778,1,1,control,AM,50,48,125
4.44444444444444,0.571428571428572,2,primed,AM,50,48,125
9.77777777777778,1.25714285714286,2,control,AM,50,48,125
6.66666666666667,0.857142857142857,3,primed,AM,50,48,125
7.55555555555556,0.971428571428572,3,control,AM,50,48,125
7.77777777777778,1,4,primed,AM,50,48,125
5.55555555555556,0.714285714285714,4,control,AM,50,48,125
9.33333333333333,1.07692307692308,1,primed,AM,50,48,126
8.66666666666667,1,1,control,AM,50,48,126
6,0.692307692307692,2,primed,AM,50,48,126
8.88888888888889,1.02564102564103,2,control,AM,50,48,126
2.88888888888889,0.333333333333333,3,primed,AM,50,48,126
9.77777777777778,1.12820512820513,3,control,AM,50,48,126
5.11111111111111,0.58974358974359,4,primed,AM,50,48,126
6.88888888888889,0.794871794871795,4,control,AM,50,48,126
4.22222222222222,0.826086956521739,1,primed,AM,50,48,127
5.11111111111111,1,1,control,AM,50,48,127
2.88888888888889,0.565217391304348,2,primed,AM,50,48,127
6.22222222222222,1.21739130434783,2,control,AM,50,48,127
3.33333333333333,0.652173913043478,3,primed,AM,50,48,127
5.33333333333333,1.04347826086957,3,control,AM,50,48,127
3.55555555555556,0.695652173913044,4,primed,AM,50,48,127
4,0.782608695652174,4,control,AM,50,48,127
13.3333333333333,1.30434782608696,1,primed,AM,50,49,129
10.2222222222222,1,1,control,AM,50,49,129
